,headline.main,state,headline_raw,head_split
35,FIRST LADY MAY PUT TEXAS DATA ON TAPE,Texas,first lady may put texas data on tape,first lady may put texas data on tape
36,YARBOROUGH EYES GOVERNOR'S CHAIR; Texan's Feud With Connally May Reach Showdown,Texas,yarborough eyes governor's chair texan's feud with connally may reach showdown,yarborough eyes governor's chair texan's feud with connally may reach showdown
37,Texans to Vote on Sales Tax,Texas,texans to vote on sales tax,texans to vote on sales tax
38,Texas Rebuffed by Court On Submerged Oil Lands,Texas,texas rebuffed by court on submerged oil lands,texas rebuffed by court on submerged oil lands
39,Honorary Degree Is Given To Mrs. Johnson in Texas,Texas,honorary degree is given to mrs. johnson in texas,honorary degree is given to mrs. johnson in texas
40,President's Wife Returns To Washington From Texas,Texas,president's wife returns to washington from texas,president's wife returns to washington from texas
41,Johnson's Peace Mission to 40 Governors Ends; 4-Month Tour Is Completed With a Visit to Texas,Texas,johnson's peace mission to 40 governors ends 4-month tour is completed with a visit to texas,johnson's peace mission to 40 governors ends 4-month tour is completed with a visit to texas
42,Shot Kills Texas Policeman In Riot at a Negro College; POLICEMAN KILLED IN A HOUSTON RIOT,Texas,shot kills texas policeman in riot at a negro college policeman killed in a houston riot,shot kills texas policeman in riot at a negro college policeman killed in a houston riot
43,TEXAS LEAGUE,Texas,texas league,texas league
44,"FLA. STATE DEFEATS TEXAS TECH, 28 TO 12",Texas,"fla. state defeats texas tech, 28 to 12",fla. state defeats texas tech 28 to 12
45,"Llewellyn W. Pitts, 60, Architect in Texas, Dies",Texas,"llewellyn w. pitts, 60, architect in texas, dies",llewellyn w. pitts 60 architect in texas dies
46,Texas Instruments Elects,Texas,texas instruments elects,texas instruments elects
47,"Hurricane Party in Texas Cafe: Beer, Talk and Plenty of Calm",Texas,"hurricane party in texas cafe: beer, talk and plenty of calm",hurricane party in texas cafe: beer talk and plenty of calm
48,FILTROL IS FACING CONTROL BATTLE; 35-Year-Old Texan Seeking to Unseat 5-Man Board,Texas,filtrol is facing control battle 35-year-old texan seeking to unseat 5-man board,filtrol is facing control battle 35-year-old texan seeking to unseat 5-man board
49,Venezuela Will Participate In Fair in Texas Next Year,Texas,venezuela will participate in fair in texas next year,venezuela will participate in fair in texas next year
50,"ALVIN M, OWSLEY, DIPLOMAT, IS DEAD; Texan Was Commander of American Legion in 1922",Texas,"alvin m, owsley, diplomat, is dead texan was commander of american legion in 1922",alvin m owsley diplomat is dead texan was commander of american legion in 1922
51,Bridge:; Texans Hold a Narrow Lead In International Team Trials,Texas,bridge: texans hold a narrow lead in international team trials,bridge: texans hold a narrow lead in international team trials
52,HUMBLE CO. LIFTS OIL BUYING PRICE; Will Pay More for Crude From 2 Texas Areas,Texas,humble co. lifts oil buying price will pay more for crude from 2 texas areas,humble co. lifts oil buying price will pay more for crude from 2 texas areas
53,"VERSATILE U.S.C. TOPS TEXAS, 17-13; Trojans' 2d-Half Surge on Ground, in Air Decides",Texas,"versatile u.s.c. tops texas, 17-13 trojans' 2d-half surge on ground, in air decides",versatile u.s.c. tops texas 17-13 trojans' 2d-half surge on ground in air decides
54,"Whooping Crane Hatched In Texas, 13th in Captivity",Texas,"whooping crane hatched in texas, 13th in captivity",whooping crane hatched in texas 13th in captivity
55,BISHOPS AID SUIT AGAINST RANGERS; Catholics Back Protestants in Texas Injunction Plea,Texas,bishops aid suit against rangers catholics back protestants in texas injunction plea,bishops aid suit against rangers catholics back protestants in texas injunction plea
56,WILLIAMS IS VEXED BY TEXAS RANGERS; Scores Refusal to Let Officer Rebut Migrant Charges,Texas,williams is vexed by texas rangers scores refusal to let officer rebut migrant charges,williams is vexed by texas rangers scores refusal to let officer rebut migrant charges
57,OLE MISS FAVORED OVER TEXAS TODAY; Rated Touchdown Choice in Bluebonnet Bowl,Texas,ole miss favored over texas today rated touchdown choice in bluebonnet bowl,ole miss favored over texas today rated touchdown choice in bluebonnet bowl
58,DECISION RESERVED IN TEXAS GULF CASE,Texas,decision reserved in texas gulf case,decision reserved in texas gulf case
59,"Meany, at Senate Hearing, Scores 'Abuse' of Texas Farm Workers",Texas,"meany, at senate hearing, scores 'abuse' of texas farm workers",meany at senate hearing scores 'abuse' of texas farm workers
60,RARE BRITISH BOOKS GO ON VIEW IN TEXAS,Texas,rare british books go on view in texas,rare british books go on view in texas
61,"Texan Crosses Atlantic in 22-Foot Boat; Teacher Told Few, to Make It Easier if He Failed Other Voyages Recalled 'Heaven and Hell' British Sailor Missing",Texas,"texan crosses atlantic in 22-foot boat teacher told few, to make it easier if he failed other voyages recalled 'heaven and hell' british sailor missing",texan crosses atlantic in 22-foot boat teacher told few to make it easier if he failed other voyages recalled 'heaven and hell' british sailor missing
62,"Texas at El Paso Wins, 75-12",Texas,"texas at el paso wins, 75-12",texas at el paso wins 75-12
63,Young Kansan and Texan Relax As They Play With an 'Old Pro',Texas,young kansan and texan relax as they play with an 'old pro',young kansan and texan relax as they play with an 'old pro'
64,TREYZ'S NETWORK TAKES NEW FORM; Texan Will Be Chairman-- Name Now the United,Texas,treyz's network takes new form texan will be chairman-- name now the united,treyz's network takes new form texan will be chairman-- name now the united
65,TEXAS SENATE BACKS DISCRIMINATION BAN,Texas,texas senate backs discrimination ban,texas senate backs discrimination ban
66,Russian Defector Named Swimming Coach in Texas,Texas,russian defector named swimming coach in texas,russian defector named swimming coach in texas
67,TEXAS GULF STOCK WILL BE SPLIT 3-1; Stock Rises $6.50 a Share -R.C.A. Raises Dividend,Texas,texas gulf stock will be split 3-1 stock rises $6.50 a share -r.c.a. raises dividend,texas gulf stock will be split 3-1 stock rises $6.50 a share -r.c.a. raises dividend
68,Oil Quotas in Texas Kept at August High,Texas,oil quotas in texas kept at august high,oil quotas in texas kept at august high
69,"Longhorn, Texas Mascot, Will Miss Bowl Game",Texas,"longhorn, texas mascot, will miss bowl game",longhorn texas mascot will miss bowl game
70,HOME SALE CURBS OPPOSED IN TEXAS; Amendment Plan Would Bar Racial Bias Prohibition,Texas,home sale curbs opposed in texas amendment plan would bar racial bias prohibition,home sale curbs opposed in texas amendment plan would bar racial bias prohibition
71,STOCKS REGISTER A SHARP ADVANCE; Trading Brisk as Averages Continue Solid Gains -- Texas Gulf Rises 2 5/8,Texas,stocks register a sharp advance trading brisk as averages continue solid gains -- texas gulf rises 2 5/8,stocks register a sharp advance trading brisk as averages continue solid gains -- texas gulf rises 2 5/8
72,PIER STRIKE HALTS WORK ON 2 COASTS AFTER TALKS FAIL; Longshoremen From Maine to Texas Go Off Jobs in Contract Dispute ARBITRATION IS SOUGHT Owners Appeal to Johnson -- Liner United States to Feel Effect of Tie-up PIER UNION HALTS WORK ON 2 COASTS,Texas,pier strike halts work on 2 coasts after talks fail longshoremen from maine to texas go off jobs in contract dispute arbitration is sought owners appeal to johnson -- liner united states to feel effect of tie-up pier union halts work on 2 coasts,pier strike halts work on 2 coasts after talks fail longshoremen from maine to texas go off jobs in contract dispute arbitration is sought owners appeal to johnson -- liner united states to feel effect of tie-up pier union halts work on 2 coasts
73,An Errant Missile Lands Outside a Town in Texas,Texas,an errant missile lands outside a town in texas,an errant missile lands outside a town in texas
74,LAND TRUST FACES SUIT ON TRUSTEES; Removal of Three at Texas Pacific Sought in Court Allegations by Kroese,Texas,land trust faces suit on trustees removal of three at texas pacific sought in court allegations by kroese,land trust faces suit on trustees removal of three at texas pacific sought in court allegations by kroese
75,"Giants Sign Koy, a Texas Back, Who Was High Oiler Draft Pick",Texas,"giants sign koy, a texas back, who was high oiler draft pick",giants sign koy a texas back who was high oiler draft pick
76,"RICE LOSES, 14-13, TO TEXAS AGGIES; Interception Sets Up Score on Pass in Final Minutes",Texas,"rice loses, 14-13, to texas aggies interception sets up score on pass in final minutes",rice loses 14-13 to texas aggies interception sets up score on pass in final minutes
77,2 Allowed to Appeal In Texas Gulf Case; APPEAL ALLOWED ON INSIDER RULING,Texas,2 allowed to appeal in texas gulf case appeal allowed on insider ruling,2 allowed to appeal in texas gulf case appeal allowed on insider ruling
78,Texas Flood Control Area Borrows 6 Million on Bonds,Texas,texas flood control area borrows 6 million on bonds,texas flood control area borrows 6 million on bonds
79,"Goldwater Backers Increase in Texas, Along With Republican Strength",Texas,"goldwater backers increase in texas, along with republican strength",goldwater backers increase in texas along with republican strength
80,Texas Reduces Rate for Oil,Texas,texas reduces rate for oil,texas reduces rate for oil
81,Sidelights; Gypsum Looking for Good Year Texas Eastern to Expand Petroleum's Big Spending Aluminum in Cans,Texas,sidelights gypsum looking for good year texas eastern to expand petroleum's big spending aluminum in cans,sidelights gypsum looking for good year texas eastern to expand petroleum's big spending aluminum in cans
82,RELAY SWEEP MADE BY TEXAS SOUTHERN,Texas,relay sweep made by texas southern,relay sweep made by texas southern
83,"TEXANS SET BACK PATRIOTS, 42-28; Haynes, Dawson Account for 5 Dallas Touchdowns",Texas,"texans set back patriots, 42-28 haynes, dawson account for 5 dallas touchdowns",texans set back patriots 42-28 haynes dawson account for 5 dallas touchdowns
84,TACKLE SIGNS 2 PACTS; Texans and Lions Claim Mills in Second Player Dispute,Texas,tackle signs 2 pacts texans and lions claim mills in second player dispute,tackle signs 2 pacts texans and lions claim mills in second player dispute
85,"Texas, Undefeated in 8 Games, Retains Lead in Coaches' Poll",Texas,"texas, undefeated in 8 games, retains lead in coaches' poll",texas undefeated in 8 games retains lead in coaches' poll
86,"State Sells $32,000,000 Issue Of University Construction Notes; North Carolina Honolulu Monroe, La. Corpus Christi, Texas Las Virgenes, Calif. New Castle County, Del.",Texas,"state sells $32,000,000 issue of university construction notes north carolina honolulu monroe, la. corpus christi, texas las virgenes, calif. new castle county, del.",state sells $32000000 issue of university construction notes north carolina honolulu monroe la. corpus christi texas las virgenes calif. new castle county del.
87,"4 Are Attendants Of Mary Fearey At Her Wedding; She Is Bride in Texas of James McE. Dewar, a Trinity Student",Texas,"4 are attendants of mary fearey at her wedding she is bride in texas of james mce. dewar, a trinity student",4 are attendants of mary fearey at her wedding she is bride in texas of james mce. dewar a trinity student
88,"DR. FRANK C. BOLTON, HEADED TEXAS A. & M.",Texas,"dr. frank c. bolton, headed texas a. & m.",dr. frank c. bolton headed texas a. & m.
89,Texas League Club Moves,Texas,texas league club moves,texas league club moves
90,"KENNEDY ASSERTS NATION MUST LEAD IN PROBING SPACE; Declares U.S. Cannot Afford to Lag if It Wants to Be in Forefront of Nations 40,000 CHEER IN TEXAS President Ends 2-Day Tour of Bases--Puts Stress on Peaceful Projects KENNEDY PLEDGES U.S. LEAD IN SPACE",Texas,"kennedy asserts nation must lead in probing space declares u.s. cannot afford to lag if it wants to be in forefront of nations 40,000 cheer in texas president ends 2-day tour of bases--puts stress on peaceful projects kennedy pledges u.s. lead in space",kennedy asserts nation must lead in probing space declares u.s. cannot afford to lag if it wants to be in forefront of nations 40000 cheer in texas president ends 2-day tour of bases--puts stress on peaceful projects kennedy pledges u.s. lead in space
91,"30,000 SEE FOYT SCORE; Texan Does 99.64 M.P.H. in 100-Mile Langhorne Race",Texas,"30,000 see foyt score texan does 99.64 m.p.h. in 100-mile langhorne race",30000 see foyt score texan does 99.64 m.p.h. in 100-mile langhorne race
92,2 DIE IN TEXAS FLOODS; Wichita Falls and Fort Worth Scenes of Evacuation,Texas,2 die in texas floods wichita falls and fort worth scenes of evacuation,2 die in texas floods wichita falls and fort worth scenes of evacuation
93,TEXAS MOVEMENT MOSTLY SIDEWAYS; But Consumer Spending and Commercial Building Gain Texas Movement Is Sideways; Consumer Spending Stays High,Texas,texas movement mostly sideways but consumer spending and commercial building gain texas movement is sideways consumer spending stays high,texas movement mostly sideways but consumer spending and commercial building gain texas movement is sideways consumer spending stays high
94,New York Lawyer Terms U.S. Judge in Texas 'Unfair',Texas,new york lawyer terms u.s. judge in texas 'unfair',new york lawyer terms u.s. judge in texas 'unfair'
95,"Former Harvard Teacher Sent To Prison on Marijuana Charges; U.S. Jury in Texas Convicts Dr. Leary, a Psychologist  Daughter Also Guilty",Texas,"former harvard teacher sent to prison on marijuana charges u.s. jury in texas convicts dr. leary, a psychologist  daughter also guilty",former harvard teacher sent to prison on marijuana charges u.s. jury in texas convicts dr. leary a psychologist  daughter also guilty
96,Widow of Texas Policeman Hears From New President,Texas,widow of texas policeman hears from new president,widow of texas policeman hears from new president
97,WILLIAMS TO GIVE PAPERS TO TEXAS U.,Texas,williams to give papers to texas u.,williams to give papers to texas u.
98,Sidelights; Sales Spur Seen In City Renewal Rails and Industrials N.&W. Executive's Future Fourth of July Names Are Similar Texas Gulf Earnings Dip,Texas,sidelights sales spur seen in city renewal rails and industrials n.&w. executive's future fourth of july names are similar texas gulf earnings dip,sidelights sales spur seen in city renewal rails and industrials n.&w. executive's future fourth of july names are similar texas gulf earnings dip
99,TEXAS WINNER DUE IN CAPITAL MONDAY,Texas,texas winner due in capital monday,texas winner due in capital monday
